"","seqnames","start","end","width","strand","name","score","nearest_gene_id","nearest_gene","distance_to_tss","inside_gene","location","lola_motif"
"196","chrX",18900233,18900432,200,"*","lola_i_peaks_1_peak_1726",221.30484,"FBgn0030976","CG7378",76,"FALSE","promoter",3
"197","chr3L",10508060,10508259,200,"*","lola_i_peaks_1_peak_895",217.65291,"FBgn0052062","Rbfox1",7842,"TRUE","distal",3
"198","chr3L",14562759,14562958,200,"*","lola_i_peaks_1_peak_935",217.65291,"FBgn0028418","Lk",2094,"FALSE","distal",1
"199","chr2L",21683716,21683915,200,"*","lola_i_peaks_1_peak_328",216.96065,"FBgn0051619","nolo",289,"FALSE","promoter",1
"200","chr3R",26535143,26535342,200,"*","lola_i_peaks_1_peak_1421",215.01486,"FBgn0039431","plum",25,"FALSE","promoter",1
"201","chr3R",24524563,24524762,200,"*","lola_i_peaks_1_peak_1385",214.80132,"FBgn0039203","CG13618",130,"FALSE","promoter",2
"202","chr2R",2079731,2079930,200,"*","lola_i_peaks_1_peak_335",214.01552,"FBgn0263780","CG17684",182283,"TRUE","distal",3
"203","chr2R",7736004,7736203,200,"*","lola_i_peaks_1_peak_377",212.78232,"FBgn0042135","CG18812",481,"FALSE","distal",3
"204","chr2L",13290740,13290939,200,"*","lola_i_peaks_1_peak_207",211.91679,"FBgn0051729","CG31729",69,"TRUE","promoter",1
"205","chrX",7340825,7341024,200,"*","lola_i_peaks_1_peak_1601",211.59877,"FBgn0265457","lncRNA:CR44357",3218,"TRUE","distal",5
"206","chr3R",18226266,18226465,200,"*","lola_i_peaks_1_peak_1303",209.95044,"FBgn0262559","Mdh2",29,"FALSE","promoter",3
"207","chr3R",9460768,9460967,200,"*","lola_i_peaks_1_peak_1166",209.9127,"FBgn0037697","GstZ2",215,"FALSE","promoter",2
"208","chr2L",11874569,11874768,200,"*","lola_i_peaks_1_peak_187",209.1886,"FBgn0264815","Pde1c",209,"TRUE","promoter",3
"209","chr2R",10025967,10026166,200,"*","lola_i_peaks_1_peak_445",209.1886,"FBgn0022382","Pka-R2",24,"FALSE","promoter",1
"210","chrX",8193060,8193259,200,"*","lola_i_peaks_1_peak_1604",209.1886,"FBgn0261873","sdt",39,"TRUE","promoter",1
"211","chr3L",4380462,4380661,200,"*","lola_i_peaks_1_peak_787",208.84029,"FBgn0035538","DopEcR",174,"FALSE","promoter",2
"212","chr3L",22824979,22825178,200,"*","lola_i_peaks_1_peak_1081",206.89609,"FBgn0027339","jim",243,"TRUE","promoter",2
"213","chr2R",20330753,20330952,200,"*","lola_i_peaks_1_peak_615",206.78506,"FBgn0034504","CG8929",2520,"FALSE","distal",1
"214","chr3L",17962310,17962509,200,"*","lola_i_peaks_1_peak_997",205.88652,"FBgn0000568","Eip75B",595,"TRUE","distal",4
"215","chr2L",11203608,11203807,200,"*","lola_i_peaks_1_peak_180",205.44022,"FBgn0259822","Ca-beta",163,"FALSE","promoter",1
"216","chr2R",10110756,10110955,200,"*","lola_i_peaks_1_peak_447",203.26964,"FBgn0003071","Pfk",13,"TRUE","promoter",3
"217","chr2L",20796999,20797198,200,"*","lola_i_peaks_1_peak_305",198.42577,"FBgn0250785","vari",56,"FALSE","promoter",3
"218","chr2L",3507262,3507461,200,"*","lola_i_peaks_1_peak_76",198.00475,"FBgn0014396","tim",143,"TRUE","promoter",1
"219","chr3R",9057905,9058104,200,"*","lola_i_peaks_1_peak_1163",197.61391,"FBgn0037659","Kdm2",4713,"TRUE","distal",1
"220","chr3L",2256790,2256989,200,"*","lola_i_peaks_1_peak_745",197.48747,"FBgn0035321","CG1275",77,"TRUE","promoter",1
"221","chr2R",16869300,16869499,200,"*","lola_i_peaks_1_peak_558",196.65787,"FBgn0034162","CG6426",1,"FALSE","promoter",2
"222","chr3R",18916964,18917163,200,"*","lola_i_peaks_1_peak_1313",196.4451,"FBgn0261113","Xrp1",1195,"TRUE","distal",2
"223","chr2R",23798391,23798590,200,"*","lola_i_peaks_1_peak_674",195.85509,"FBgn0034903","sona",95,"FALSE","promoter",2
"224","chr2R",9666216,9666415,200,"*","lola_i_peaks_1_peak_439",192.33195,"FBgn0033438","Mmp2",5090,"TRUE","distal",1
"225","chr2R",11388728,11388927,200,"*","lola_i_peaks_1_peak_473",190.34099,"FBgn0082585","sprt",48,"TRUE","promoter",4
"226","chr3L",9509497,9509696,200,"*","lola_i_peaks_1_peak_876",190.25922,"FBgn0036008","CG3408",13,"FALSE","promoter",1
"227","chr3L",22835395,22835594,200,"*","lola_i_peaks_1_peak_1082",189.93283,"FBgn0027339","jim",300,"FALSE","promoter",2
"228","chr3L",21210072,21210271,200,"*","lola_i_peaks_1_peak_1053",188.37331,"FBgn0037060","CG10508",42,"FALSE","promoter",2
"229","chr2R",8131872,8132071,200,"*","lola_i_peaks_1_peak_390",188.35713,"FBgn0005648","Pabp2",540,"TRUE","distal",2
"230","chr3R",11689932,11690131,200,"*","lola_i_peaks_1_peak_1206",183.82735,"FBgn0037936","CG6908",18,"TRUE","promoter",2
"231","chr3L",6709099,6709298,200,"*","lola_i_peaks_1_peak_821",183.12663,"FBgn0035711","CG8519",1613,"FALSE","distal",2
"232","chrX",12437189,12437388,200,"*","lola_i_peaks_1_peak_1636",181.96227,"FBgn0259680","Pkcdelta",4194,"TRUE","distal",4
"233","chr3R",20957617,20957816,200,"*","lola_i_peaks_1_peak_1342",181.74724,"FBgn0002921","Atpalpha",16,"TRUE","promoter",2
"234","chr3R",27657041,27657240,200,"*","lola_i_peaks_1_peak_1441",180.79971,"FBgn0002772","Mlc1",144,"TRUE","promoter",1
"235","chr2L",18119607,18119806,200,"*","lola_i_peaks_1_peak_269",179.63898,"FBgn0032666","CG5758",287,"FALSE","promoter",1
"236","chr3L",2122421,2122620,200,"*","lola_i_peaks_1_peak_742",177.06624,"FBgn0052311","zormin",4022,"TRUE","distal",3
"237","chr3L",14992061,14992260,200,"*","lola_i_peaks_1_peak_941",175.6904,"FBgn0036461","Zip71B",127,"FALSE","promoter",3
"238","chr2R",6089053,6089252,200,"*","lola_i_peaks_1_peak_342",175.0145,"FBgn0000546","EcR",3527,"TRUE","distal",2
"239","chr3L",17907700,17907899,200,"*","lola_i_peaks_1_peak_992",174.40579,"FBgn0036770","Prestin",11,"TRUE","promoter",2
"240","chr2R",7758832,7759031,200,"*","lola_i_peaks_1_peak_379",174.32951,"FBgn0266526","CG45093",54,"TRUE","promoter",2
"241","chr3R",22564785,22564984,200,"*","lola_i_peaks_1_peak_1358",172.71342,"FBgn0038986","sit",2312,"FALSE","distal",1
"242","chr3L",21769622,21769821,200,"*","lola_i_peaks_1_peak_1069",171.99176,"FBgn0037130","Syn1",92,"TRUE","promoter",2
"243","chr2L",1988188,1988387,200,"*","lola_i_peaks_1_peak_47",171.43362,"FBgn0031381","Npc2a",1,"FALSE","promoter",4
"244","chrX",6317210,6317409,200,"*","lola_i_peaks_1_peak_1593",170.93124,"FBgn0029864","CG15894",110,"TRUE","promoter",3
"245","chr3L",16969685,16969884,200,"*","lola_i_peaks_1_peak_970",168.52142,"FBgn0261547","Exn",227,"FALSE","promoter",1
"246","chr2L",2376283,2376482,200,"*","lola_i_peaks_1_peak_56",168.39284,"FBgn0031420","Atxn7",49,"TRUE","distal",1
"247","chr3R",18918102,18918301,200,"*","lola_i_peaks_1_peak_1314",166.99384,"FBgn0261113","Xrp1",57,"TRUE","promoter",1
"248","chr3L",21483941,21484140,200,"*","lola_i_peaks_1_peak_1062",165.85565,"FBgn0037085","Neu2",6544,"FALSE","distal",2
"249","chr3L",1831903,1832102,200,"*","lola_i_peaks_1_peak_738",162.45274,"FBgn0035279","Cpr62Ba",219,"FALSE","promoter",1
"250","chr3L",17655816,17656015,200,"*","lola_i_peaks_1_peak_989",162.45274,"FBgn0036745","CG7484",1298,"FALSE","distal",1
"251","chrX",13783614,13783813,200,"*","lola_i_peaks_1_peak_1656",162.45274,"FBgn0261244","inaE",0,"TRUE","promoter",1
"252","chrX",18063439,18063638,200,"*","lola_i_peaks_1_peak_1704",162.45274,"FBgn0003380","Sh",291,"FALSE","promoter",2
"253","chr3L",5657365,5657564,200,"*","lola_i_peaks_1_peak_806",162.44096,"FBgn0085447","sif",447,"FALSE","distal",3
"254","chrX",6219854,6220053,200,"*","lola_i_peaks_1_peak_1592",161.4364,"FBgn0029849","Efr",2,"FALSE","promoter",1
"255","chr2R",17792549,17792748,200,"*","lola_i_peaks_1_peak_569",160.71964,"FBgn0028743","Dhit",220,"FALSE","promoter",5
"256","chr4",1084705,1084904,200,"*","lola_i_peaks_1_peak_1502",160.19392,"FBgn0024913","Actbeta",8,"FALSE","promoter",3
"257","chr3L",8395026,8395225,200,"*","lola_i_peaks_1_peak_856",159.4937,"FBgn0035888","CG7120",873,"FALSE","distal",1
"258","chr2R",21072747,21072946,200,"*","lola_i_peaks_1_peak_623",159.06747,"FBgn0034583","CG10527",57,"FALSE","promoter",2
"259","chrX",13031290,13031489,200,"*","lola_i_peaks_1_peak_1645",156.82056,"FBgn0265597","rad",634,"TRUE","distal",4
"260","chrX",21632859,21633058,200,"*","lola_i_peaks_1_peak_1744",156.82056,"FBgn0267704","lncRNA:flam",1067,"TRUE","distal",1
"261","chr2L",7675680,7675879,200,"*","lola_i_peaks_1_peak_134",155.50932,"FBgn0040299","Myo28B1",701,"TRUE","distal",4
"262","chr2L",10837497,10837696,200,"*","lola_i_peaks_1_peak_178",155.14995,"FBgn0011676","Nos",85,"FALSE","promoter",2
"263","chr3L",18996549,18996748,200,"*","lola_i_peaks_1_peak_1025",154.72075,"FBgn0036837","CG18135",839,"TRUE","distal",1
"264","chr2L",20223328,20223527,200,"*","lola_i_peaks_1_peak_296",154.58163,"FBgn0259996","lncRNA:CR40341",24610,"FALSE","distal",3
"265","chr3L",3252079,3252278,200,"*","lola_i_peaks_1_peak_764",154.58163,"FBgn0263617","lncRNA:CR43626",1156,"TRUE","distal",1
"266","chr3R",29479155,29479354,200,"*","lola_i_peaks_1_peak_1448",154.25229,"FBgn0004369","Ptp99A",60,"TRUE","promoter",3
"267","chr3R",19096730,19096929,200,"*","lola_i_peaks_1_peak_1319",154.02383,"FBgn0038679","CG6040",130,"FALSE","promoter",1
"268","chrX",6698455,6698654,200,"*","lola_i_peaks_1_peak_1594",153.46521,"FBgn0029894","CG14440",11,"TRUE","promoter",1
"269","chr3R",7505040,7505239,200,"*","lola_i_peaks_1_peak_1140",153.08511,"FBgn0015577","alpha-Est9",41,"FALSE","promoter",1
"270","chr2R",11890902,11891101,200,"*","lola_i_peaks_1_peak_478",152.66806,"FBgn0033663","ERp60",22,"FALSE","promoter",2
"271","chr2L",16168198,16168397,200,"*","lola_i_peaks_1_peak_241",151.23846,"FBgn0001991","Ca-alpha1D",47,"TRUE","promoter",1
"272","chr3L",8741305,8741504,200,"*","lola_i_peaks_1_peak_861",149.65874,"FBgn0003149","Prm",2497,"TRUE","distal",4
"273","chr3R",13232821,13233020,200,"*","lola_i_peaks_1_peak_1224",148.69225,"FBgn0000024","Ace",12342,"TRUE","distal",2
"274","chr3R",26137166,26137365,200,"*","lola_i_peaks_1_peak_1416",148.6488,"FBgn0039415","CG6142",4111,"FALSE","distal",2
"275","chr2R",14267870,14268069,200,"*","lola_i_peaks_1_peak_516",147.32179,"FBgn0033919","CG8547",50,"FALSE","promoter",2
"276","chrX",17066932,17067131,200,"*","lola_i_peaks_1_peak_1689",146.84512,"FBgn0266354","CG45002",299,"FALSE","promoter",3
"277","chr3R",20866296,20866495,200,"*","lola_i_peaks_1_peak_1336",146.59099,"FBgn0038837","KaiR1D",164,"FALSE","promoter",2
"278","chr2L",16315011,16315210,200,"*","lola_i_peaks_1_peak_245",146.42326,"FBgn0000250","cact",4154,"TRUE","distal",3
"279","chr2R",8336043,8336242,200,"*","lola_i_peaks_1_peak_397",145.70769,"FBgn0261588","pdm3",8652,"TRUE","distal",1
"280","chr2R",6500285,6500484,200,"*","lola_i_peaks_1_peak_350",143.50999,"FBgn0267744","lncRNA:CR46075",1386,"FALSE","distal",1
"281","chr3L",8081924,8082123,200,"*","lola_i_peaks_1_peak_848",143.50999,"FBgn0264705","lncRNA:CR43974",1175,"TRUE","distal",2
"282","chr3L",20730394,20730593,200,"*","lola_i_peaks_1_peak_1048",143.50999,"FBgn0037016","CG13252",96,"FALSE","promoter",1
"283","chr3R",16153781,16153980,200,"*","lola_i_peaks_1_peak_1268",142.85233,"FBgn0063649","CG6006",1100,"FALSE","distal",1
"284","chr2R",19253972,19254171,200,"*","lola_i_peaks_1_peak_603",142.59131,"FBgn0053453","CG33453",843,"FALSE","distal",2
"285","chr2R",24876489,24876688,200,"*","lola_i_peaks_1_peak_706",141.32555,"FBgn0265182","CG44247",101,"FALSE","promoter",1
"286","chr4",1146505,1146704,200,"*","lola_i_peaks_1_peak_1503",141.32082,"FBgn0052017","CG32017",75,"TRUE","promoter",2
"287","chr3R",12443852,12444051,200,"*","lola_i_peaks_1_peak_1220",140.82092,"FBgn0086687","Desat1",88,"TRUE","promoter",4
"288","chr3R",4717690,4717889,200,"*","lola_i_peaks_1_peak_1099",140.34644,"FBgn0266228","lncRNA:CR44923",1608,"FALSE","distal",2
"289","chr2R",13958090,13958289,200,"*","lola_i_peaks_1_peak_510",139.70718,"FBgn0262739","AGO1",100,"FALSE","promoter",1
"290","chr2R",16196929,16197128,200,"*","lola_i_peaks_1_peak_548",139.63866,"FBgn0262026","CG42837",12,"FALSE","promoter",1
"291","chr3L",18020960,18021159,200,"*","lola_i_peaks_1_peak_1000",139.35207,"FBgn0000568","Eip75B",4971,"TRUE","distal",2
"292","chr2R",10617471,10617670,200,"*","lola_i_peaks_1_peak_467",139.16589,"FBgn0033538","CG11883",90,"FALSE","promoter",3
"293","chr2R",23618028,23618227,200,"*","lola_i_peaks_1_peak_667",138.05313,"FBgn0034883","Eglp2",1373,"FALSE","distal",4
"294","chrX",2141272,2141471,200,"*","lola_i_peaks_1_peak_1551",137.81377,"FBgn0023507","D2hgdh",116,"FALSE","promoter",2
"295","chr3L",17238350,17238549,200,"*","lola_i_peaks_1_peak_976",137.01546,"FBgn0260943","Rbp6",237,"FALSE","promoter",2
"296","chr3R",19017378,19017577,200,"*","lola_i_peaks_1_peak_1318",135.2637,"FBgn0026239","gukh",6551,"TRUE","distal",2
"297","chrX",11983969,11984168,200,"*","lola_i_peaks_1_peak_1635",134.91765,"FBgn0263111","cac",153,"TRUE","promoter",2
"298","chr3R",6912248,6912447,200,"*","lola_i_peaks_1_peak_1129",134.65492,"FBgn0260642","Antp",7665,"TRUE","distal",1
"299","chr2R",20320435,20320634,200,"*","lola_i_peaks_1_peak_614",132.88057,"FBgn0027529","tapas",38,"TRUE","promoter",1
"300","chr2L",12046002,12046201,200,"*","lola_i_peaks_1_peak_192",132.76625,"FBgn0032400","CG6770",15,"TRUE","promoter",2
"301","chr2L",9915140,9915339,200,"*","lola_i_peaks_1_peak_166",132.70505,"FBgn0040064","yip2",12,"FALSE","promoter",3
"302","chr3R",20309357,20309556,200,"*","lola_i_peaks_1_peak_1328",132.65063,"FBgn0261550","CG42668",112,"TRUE","distal",1
"303","chr2R",9552644,9552843,200,"*","lola_i_peaks_1_peak_432",131.72058,"FBgn0263660","lncRNA:CR43651",99,"FALSE","promoter",2
"304","chr2R",8013716,8013915,200,"*","lola_i_peaks_1_peak_388",131.71001,"FBgn0033250","CG14762",60,"FALSE","promoter",2
"305","chr3L",3767899,3768098,200,"*","lola_i_peaks_1_peak_772",131.5768,"FBgn0052264","CG32264",2267,"TRUE","distal",1
"306","chr3L",311628,311827,200,"*","lola_i_peaks_1_peak_718",130.83031,"FBgn0004373","fwd",85,"TRUE","promoter",3
"307","chr3R",9868553,9868752,200,"*","lola_i_peaks_1_peak_1175",130.67091,"FBgn0037766","Teh1",532,"FALSE","distal",2
"308","chr3R",23386220,23386419,200,"*","lola_i_peaks_1_peak_1373",129.88657,"FBgn0039075","CG4393",1542,"FALSE","distal",5
"309","chrX",17454880,17455079,200,"*","lola_i_peaks_1_peak_1692",129.43582,"FBgn0030841","CG8568",2436,"FALSE","distal",2
"310","chrX",1476655,1476854,200,"*","lola_i_peaks_1_peak_1531",129.30492,"FBgn0025382","Rab27",218,"TRUE","promoter",1
"311","chr2L",20382285,20382484,200,"*","lola_i_peaks_1_peak_299",129.09721,"FBgn0032856","CG16798",28,"FALSE","promoter",3
"312","chr3L",21240141,21240340,200,"*","lola_i_peaks_1_peak_1055",128.73972,"FBgn0004865","Eip78C",105,"TRUE","promoter",1
"313","chrX",22487029,22487228,200,"*","lola_i_peaks_1_peak_1748",128.36873,"FBgn0031191","Cp110",50,"TRUE","promoter",2
"314","chr3L",7013723,7013922,200,"*","lola_i_peaks_1_peak_829",126.25467,"FBgn0260660","Mp",276,"TRUE","promoter",2
"315","chr2R",13822156,13822355,200,"*","lola_i_peaks_1_peak_507",126.11038,"FBgn0000662","fl(2)d",2296,"TRUE","distal",3
"316","chr3R",26461352,26461551,200,"*","lola_i_peaks_1_peak_1420",126.06892,"FBgn0039430","CG5455",74,"FALSE","promoter",1
"317","chr2R",13362959,13363158,200,"*","lola_i_peaks_1_peak_503",125.18117,"FBgn0266851","lncRNA:CR45312",223,"FALSE","promoter",2
"318","chr3L",19815812,19816011,200,"*","lola_i_peaks_1_peak_1039",124.85571,"FBgn0023094","cyc",25,"TRUE","promoter",2
"319","chr2L",20829982,20830181,200,"*","lola_i_peaks_1_peak_309",123.7824,"FBgn0051673","CG31673",472,"TRUE","distal",2
"320","chr3R",6973343,6973542,200,"*","lola_i_peaks_1_peak_1131",123.06768,"FBgn0260642","Antp",25784,"TRUE","distal",1
"321","chr3L",19834221,19834420,200,"*","lola_i_peaks_1_peak_1040",122.48611,"FBgn0003744","trc",16,"FALSE","promoter",1
"322","chr2L",11878989,11879188,200,"*","lola_i_peaks_1_peak_188",122.01444,"FBgn0264815","Pde1c",1851,"TRUE","distal",1
"323","chr3R",9047786,9047985,200,"*","lola_i_peaks_1_peak_1161",120.28807,"FBgn0014018","Rel",56,"TRUE","promoter",1
"324","chr2R",13897639,13897838,200,"*","lola_i_peaks_1_peak_508",120.09235,"FBgn0013733","shot",37,"TRUE","promoter",1
"325","chr3R",22368301,22368500,200,"*","lola_i_peaks_1_peak_1353",119.49966,"FBgn0267385","PyK",864,"TRUE","distal",1
"326","chrX",351092,351291,200,"*","lola_i_peaks_1_peak_1511",118.86887,"FBgn0052816","CG32816",625,"TRUE","distal",3
"327","chrX",10329751,10329950,200,"*","lola_i_peaks_1_peak_1625",118.86887,"FBgn0011770","Gip",20,"TRUE","promoter",3
"328","chr3R",4821422,4821621,200,"*","lola_i_peaks_1_peak_1101",118.49715,"FBgn0037282","CG14657",89,"FALSE","promoter",3
"329","chrX",1401604,1401803,200,"*","lola_i_peaks_1_peak_1529",118.37312,"FBgn0259108","futsch",7364,"FALSE","distal",2
"330","chr2L",17715392,17715591,200,"*","lola_i_peaks_1_peak_266",117.82511,"FBgn0015609","CadN",10810,"TRUE","distal",3
"331","chr3R",9014200,9014399,200,"*","lola_i_peaks_1_peak_1160",117.25274,"FBgn0037655","Kcmf1",72,"TRUE","promoter",1
"332","chr2L",20831165,20831364,200,"*","lola_i_peaks_1_peak_310",116.78375,"FBgn0051674","CG31674",2,"TRUE","promoter",2
"333","chr2R",19126243,19126442,200,"*","lola_i_peaks_1_peak_601",116.78375,"FBgn0034417","CG15117",73,"TRUE","promoter",2
"334","chrX",13319253,13319452,200,"*","lola_i_peaks_1_peak_1648",116.78375,"FBgn0283680","IP3K2",1948,"TRUE","distal",2
"335","chr2R",10087418,10087617,200,"*","lola_i_peaks_1_peak_446",116.47811,"FBgn0033484","CG2269",47,"TRUE","promoter",2
"336","chr3R",18315357,18315556,200,"*","lola_i_peaks_1_peak_1305",115.74481,"FBgn0038603","PKD",1049,"FALSE","distal",4
"337","chrX",10624807,10625006,200,"*","lola_i_peaks_1_peak_1627",115.17571,"FBgn0030222","CG9806",1681,"TRUE","distal",3
"338","chr3L",12835549,12835748,200,"*","lola_i_peaks_1_peak_921",114.7083,"FBgn0036316","CG10960",3097,"TRUE","distal",3
"339","chrX",2340149,2340348,200,"*","lola_i_peaks_1_peak_1555",113.67423,"FBgn0003079","Raf",48,"TRUE","promoter",1
"340","chr3L",18995780,18995979,200,"*","lola_i_peaks_1_peak_1024",112.8623,"FBgn0036837","CG18135",70,"TRUE","promoter",1
"341","chrX",13359062,13359261,200,"*","lola_i_peaks_1_peak_1650",112.64262,"FBgn0261085","Syt12",85,"FALSE","promoter",3
"342","chr3L",11680372,11680571,200,"*","lola_i_peaks_1_peak_910",111.96741,"FBgn0052085","CG32085",127,"FALSE","promoter",1
"343","chr2L",8326902,8327101,200,"*","lola_i_peaks_1_peak_149",111.61348,"FBgn0032022","CG14275",453,"FALSE","distal",4
"344","chr3L",2961324,2961523,200,"*","lola_i_peaks_1_peak_756",111.0002,"FBgn0035382","Or63a",109,"FALSE","promoter",2
"345","chr2L",1911580,1911779,200,"*","lola_i_peaks_1_peak_45",110.58683,"FBgn0031374","Wdr62",61,"TRUE","promoter",1
"346","chr2L",18275849,18276048,200,"*","lola_i_peaks_1_peak_271",110.06336,"FBgn0261804","CG42750",178,"FALSE","promoter",3
"347","chr2R",23611146,23611345,200,"*","lola_i_peaks_1_peak_665",110.01655,"FBgn0034885","Eglp4",1704,"TRUE","distal",2
"348","chr3R",7306678,7306877,200,"*","lola_i_peaks_1_peak_1136",109.56268,"FBgn0267337","rn",2185,"TRUE","distal",3
"349","chr2R",23666994,23667193,200,"*","lola_i_peaks_1_peak_670",109.48165,"FBgn0266377","Pde8",40,"TRUE","promoter",1
"350","chrX",18214389,18214588,200,"*","lola_i_peaks_1_peak_1707",109.32976,"FBgn0053639","CG33639",5061,"TRUE","distal",2
"351","chr3L",22822515,22822714,200,"*","lola_i_peaks_1_peak_1080",108.54104,"FBgn0027339","jim",2219,"TRUE","distal",1
"352","chr3R",20675876,20676075,200,"*","lola_i_peaks_1_peak_1333",108.30751,"FBgn0266382","asRNA:CR45024",1103,"FALSE","distal",1
"353","chr2L",4331909,4332108,200,"*","lola_i_peaks_1_peak_85",107.96011,"FBgn0020762","Atet",1903,"FALSE","distal",3
"354","chrX",5289778,5289977,200,"*","lola_i_peaks_1_peak_1577",107.52193,"FBgn0261803","CG42749",6187,"FALSE","distal",1
"355","chr3L",11623680,11623879,200,"*","lola_i_peaks_1_peak_909",107.49177,"FBgn0086254","CG6084",64,"TRUE","promoter",3
"356","chr2R",15861318,15861517,200,"*","lola_i_peaks_1_peak_544",107.45843,"FBgn0022160","Gpo1",73,"TRUE","promoter",3
"357","chr2R",18811815,18812014,200,"*","lola_i_peaks_1_peak_595",107.27726,"FBgn0034394","CG15096",454,"TRUE","distal",2
"358","chr2R",14360181,14360380,200,"*","lola_i_peaks_1_peak_519",106.71979,"FBgn0033926","Arc1",15,"TRUE","promoter",1
"359","chrX",336745,336944,200,"*","lola_i_peaks_1_peak_1510",106.50537,"FBgn0052816","CG32816",1583,"TRUE","distal",1
"360","chrX",15301311,15301510,200,"*","lola_i_peaks_1_peak_1670",105.49136,"FBgn0261703","gce",901,"TRUE","distal",1
"361","chr3R",25329251,25329450,200,"*","lola_i_peaks_1_peak_1402",105.32422,"FBgn0045761","CHKov1",34,"FALSE","promoter",2
"362","chr3L",3942338,3942537,200,"*","lola_i_peaks_1_peak_776",105.31853,"FBgn0027552","CG10863",26,"TRUE","promoter",2
"363","chr2R",24687891,24688090,200,"*","lola_i_peaks_1_peak_702",104.71346,"FBgn0035049","Mmp1",192,"TRUE","distal",3
"364","chr3L",9698187,9698386,200,"*","lola_i_peaks_1_peak_885",104.43859,"FBgn0015321","Ubc4",48,"FALSE","promoter",1
"365","chr3L",17841138,17841337,200,"*","lola_i_peaks_1_peak_991",103.6918,"FBgn0036759","CG5577",188,"TRUE","distal",2
"366","chr2R",20007316,20007515,200,"*","lola_i_peaks_1_peak_612",103.47109,"FBgn0265839","lncRNA:CR44628",320,"TRUE","distal",3
"367","chr3L",3303270,3303469,200,"*","lola_i_peaks_1_peak_766",103.18695,"FBgn0035431","CG14968",257,"FALSE","promoter",1
"368","chr2L",10321712,10321911,200,"*","lola_i_peaks_1_peak_170",102.76817,"FBgn0032218","CG5381",9,"TRUE","promoter",2
"369","chr2L",122392,122591,200,"*","lola_i_peaks_1_peak_6",102.50779,"FBgn0031228","ND-15",344,"TRUE","promoter",1
"370","chr3R",16171819,16172018,200,"*","lola_i_peaks_1_peak_1270",102.15521,"FBgn0038404","CG8925",71,"FALSE","promoter",4
"371","chr2L",6494417,6494616,200,"*","lola_i_peaks_1_peak_120",101.81489,"FBgn0051638","CG31638",14,"TRUE","promoter",2
"372","chr2L",3303958,3304157,200,"*","lola_i_peaks_1_peak_74",101.46124,"FBgn0031518","CG3277",41,"FALSE","promoter",2
"373","chr2R",24257901,24258100,200,"*","lola_i_peaks_1_peak_693",99.85864,"FBgn0034997","CG3376",11,"FALSE","promoter",1
"374","chrX",6968658,6968857,200,"*","lola_i_peaks_1_peak_1596",99.4931,"FBgn0029922","CG14431",7,"TRUE","promoter",2
"375","chrX",1828451,1828650,200,"*","lola_i_peaks_1_peak_1540",99.46193,"FBgn0283741","prage",1203,"TRUE","distal",1
"376","chr2L",16269502,16269701,200,"*","lola_i_peaks_1_peak_243",99.09804,"FBgn0001994","crp",7460,"TRUE","distal",2
"377","chr2R",8152174,8152373,200,"*","lola_i_peaks_1_peak_392",98.59459,"FBgn0263593","Lpin",2838,"TRUE","distal",4
"378","chr3R",26117535,26117734,200,"*","lola_i_peaks_1_peak_1415",98.49337,"FBgn0051324","CG31324",7787,"TRUE","distal",1
"379","chr2R",14605275,14605474,200,"*","lola_i_peaks_1_peak_524",97.57941,"FBgn0033945","CG12868",77,"FALSE","promoter",2
"380","chr2L",7029148,7029347,200,"*","lola_i_peaks_1_peak_125",97.4733,"FBgn0031881","MME1",1721,"FALSE","distal",2
"381","chr3L",12507733,12507932,200,"*","lola_i_peaks_1_peak_917",96.88097,"FBgn0036294","CG10654",6,"TRUE","promoter",1
"382","chr3R",24572750,24572949,200,"*","lola_i_peaks_1_peak_1390",96.48302,"FBgn0039209","REPTOR",354,"TRUE","promoter",3
"383","chr3R",7793924,7794123,200,"*","lola_i_peaks_1_peak_1145",96.20109,"FBgn0037518","CG2641",44,"FALSE","promoter",3
"384","chr2L",19546934,19547133,200,"*","lola_i_peaks_1_peak_284",95.52464,"FBgn0032805","CG10337",74,"FALSE","promoter",1
"385","chrX",1397831,1398030,200,"*","lola_i_peaks_1_peak_1526",95.30549,"FBgn0024985","CG11448",4876,"FALSE","distal",3
"386","chrX",9684852,9685051,200,"*","lola_i_peaks_1_peak_1617",94.3968,"FBgn0261617","nej",714,"TRUE","distal",2
"387","chrX",1466597,1466796,200,"*","lola_i_peaks_1_peak_1530",93.97015,"FBgn0026872","CG14777",51,"TRUE","promoter",1
"388","chr2R",24565186,24565385,200,"*","lola_i_peaks_1_peak_699",93.60138,"FBgn0035025","uri",267,"FALSE","promoter",2
"389","chr2L",13665326,13665525,200,"*","lola_i_peaks_1_peak_215",93.52859,"FBgn0028527","CG18507",98,"FALSE","promoter",2
"390","chrX",12710004,12710203,200,"*","lola_i_peaks_1_peak_1639",93.29642,"FBgn0265523","Smr",4249,"TRUE","distal",4
"391","chr3L",913818,914017,200,"*","lola_i_peaks_1_peak_727",93.08253,"FBgn0264574","Glut1",155,"FALSE","promoter",2
"392","chr2L",3648210,3648409,200,"*","lola_i_peaks_1_peak_78",92.5493,"FBgn0000721","for",2171,"TRUE","distal",3
"393","chr3L",1970041,1970240,200,"*","lola_i_peaks_1_peak_740",89.64164,"FBgn0027547","CG1927",61,"FALSE","promoter",2
